,"Код
Инструмента","Наименование
Инструмента","Базис
поставки","Объем
Договоров
в единицах
измерения","Обьем
Договоров,
руб.","Изменение рыночной
цены к цене
предыдуего дня",Col6,"Цена (за единицу измерения), руб.",Col8,Col9,Col10,"Цена в Заявках (за единицу
измерения)",Col12,"Количество
Договоров,
шт."
0,,,,,,Руб.,%,Минимальная,Средневзвешенная,Максимальная,Рыночная,"Лучшее
предложение","Лучший
449,PCRXKHH038F,"Газы углеводородные сжиженные марка ПБТ (СТО), ст.
Кульшарипово (ст. отправления)",ст. Кульшарипово,950,20007418,-,-,20500,21060,21900,21060,20000,22300,5
450,PCRZKHH040F,"Газы углеводородные сжиженные марка БТ, ст. Кульшарипово
(ст. отправления)",ст. Кульшарипово,200,4120000,-,-,20000,20600,21000,20600,20000,21000,3
451,PCSCKII065S,"Сольвент нефтяной сверхтяжелый, ст. Кириши (самовывоз
ж/д)",ст. Кириши,-,-,-,-,-,-,-,-,-,53000,-
452,PCSGBIN066F,"Сера техническая газовая гранулированная сорт 9998 (ТУ
2003), ст. Биклянь (ст. отправления)",ст. Биклянь,198,8751600,-,-,44200,44200,44200,44200,44200,44200,1
453,PCSJSVA060F,"Бензол нефтяной высшей очистки, ст. Салават (ст.
отправления)",ст. Салават,60,3000240,-,-,50004,-,50004,-,50004,51000,1
454,PCSURUY060W,"Смесь ароматических углеводородов С-10, ст. Рудня-Экспорт
(промежуточная станция)",ст. Рудня-Экспорт,-,-,-,-,-,-,-,-,122315,-,-
455,PCSUZAH060W,"Смесь ароматических углеводородов С-10, ст. Завережье-
Экспорт (промежуточная станция)","ст. Завережье-
Экспорт",-,-,-,-,-,-,-,-,122315,-,-
456,PCSZPLU022A,"Стирол марка СДЭБ высший сорт, Узловая (самовывоз
автотранспортом)",Узловая,-,-,-,-,-,-,-,130200,-,-,-
457,PCSZSBU022A,"Стирол марка СДЭБ высший сорт, СИБУР-Нефтехим
(самовывоз автотранспортом)",СИБУР-Нефтехим,-,-,-,-,-,-,-,130200,-,-,-
458,PCSZSIK022A,"Стирол марка СДЭБ высший сорт, Сибур-Химпром
(самовывоз автотранспортом)",Сибур-Химпром,-,-,-,-,-,-,-,124950,-,-,-
459,PCSZSVA044S,"Стирол марка СДЭБ высший сорт, ст. Салават (самовывоз
ж/д)",ст. Салават,88,9688800,-,-,110100,110100,110100,110100,110100,111000,1
460,PCS1ANK065F,"Кислота серная контактная техническая первый сорт (лот 65
т), Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,-,16000,-
461,PCS1KII073S,"Кислота серная контактная техническая первый сорт, ст.
Кириши (самовывоз ж/д)",ст. Кириши,-,-,-,-,-,-,-,-,-,21350,-
462,PCS1NVY065F,"Кислота серная контактная техническая первый сорт, ст.
Новоярославская (ст. отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,-,20100,-
463,PCS1SAU060F,"Кислота серная контактная техническая первый сорт (лот 60
т), Самара-группа станций (ст. отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,16500,-
464,PCS1SAU065F,"Кислота серная контактная техническая первый сорт (лот 65
т), Самара-группа станций (ст. отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,16500,-
465,PCS1STI065F,"Кислота серная контактная техническая первый сорт, ст.
Стенькино II (ст. отправления)",ст. Стенькино II,-,-,-,-,-,-,-,-,-,20100,-
466,PCS2SAU065F,"Кислота серная контактная техническая второй сорт (лот 65 т),
Самара-группа станций (ст. отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,11000,-
467,PCS3BHR022A,"Кислота соляная синтетическая техническая, Башкирская
содовая компания (самовывоз автотранспортом)","Башкирская содовая
компания",-,-,-,-,-,-,-,-,20374,-,-
468,PCS4SAU060F,"Смола полиалкилбензольная марка А, Самара-группа станций
(ст. отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,15000,-
469,PCS6KKK060J,"Кислота соляная синтетическая техническая марка А, ст.
Косяковка (ст. отправления ОТП)",ст. Косяковка,-,-,-,-,-,-,-,-,20374,-,-
470,PCS7NVO025A,"Ацетон технический высший сорт, Новокуйбышевская НХК
(самовывоз автотранспортом)","Новокуйбышевская
НХК",-,-,-,-,-,-,-,45250,45500,-,-
471,PCS7PUF025A,"Ацетон технический высший сорт, Уфаоргсинтез (самовывоз
автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,45250,-,45000,-
472,PCS7SAU040F,"Ацетон технический высший сорт (1 лот = 40т), Самара-группа
станций (ст. отправления)","Самара-группа
станций",40,1820000,1000,"2,2",45500,45500,45500,45500,45500,45500,1
473,PCS7SAU060F,"Ацетон технический высший сорт, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,44167,44500,39000,-
474,PCS7UFM040F,"Ацетон технический высший сорт, (поставка танк-
контейнерами), Уфа-группа станций (ст. отправления)",Уфа-группа станций,80,3580000,250,"0,56",44500,44750,45000,44750,44500,45000,2
475,PCS7UFM040S,"Ацетон технический высший сорт, Уфа-группа станций
(самовывоз ж/д)",Уфа-группа станций,80,3580000,-,-,44500,44750,45000,44750,44500,45000,2
476,PCS7UFM060F,"Ацетон технический высший сорт, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,44167,44500,-,-
477,PCS9SDA025A,"Кислота соляная синтетическая техническая марка Б, Сода-
хлорат (самовывоз автотранспортом)",Сода-хлорат,-,-,-,-,-,-,-,-,15860,-,-
478,PCS9ZAC060J,"Кислота соляная синтетическая техническая марка Б, ст.
Заячья Горка, Свердловская ЖД (ст. отправления ОТП)","ст. Заячья Горка,
Свердловская ЖД",-,-,-,-,-,-,-,-,15860,-,-
479,PCTBTYP034F,"Газы углеводородные сжиженные марка БТ, ст. Тюльпан (ст.
отправления)",ст. Тюльпан,68,1634040,123,"0,51",23980,24030,24080,24030,23907,24105,2
480,PCTHNVI065C,"Метанол технический марка А (без ХОС), БП Новый Уренгой
(ст. назначения)",БП Новый Уренгой,-,-,-,-,-,-,-,-,45000,42000,-
481,PCTKKOB060F,"Концентрат толуольный марка А, ст. Комбинатская (ст.
отправления)",ст. Комбинатская,-,-,-,-,-,-,-,101000,-,106000,-
482,PCTMNVI060C,"Метанол технический марка А, БП Новый Уренгой (ст.
назначения)",БП Новый Уренгой,-,-,-,-,-,-,-,-,45000,41000,-
483,PCTMSAD065C,"Метанол технический марка А (1 лот = 65 т), Самара БП (ст.
назначения)",Самара БП,-,-,-,-,-,-,-,34000,-,-,-
484,PCTOOSN063F,"Толуол нефтяной, ст. Осенцы (ст. отправления)",ст. Осенцы,63,7087500,5000,"4,44",112500,112500,112500,112500,112500,112500,1
485,PCT9NVY060F,"Толуол нефтяной высший сорт, ст. Новоярославская (ст.
отправления)",ст. Новоярославская,-,-,-,-,-,-,-,114050,-,114100,-
486,PCT9SVA060J,"Толуол нефтяной высший сорт, ст. Салават (ст. отправления
ОТП)",ст. Салават,-,-,-,-,-,-,-,-,-,67000,-
487,PCUUTYP034F,"Газы углеводородные сжиженные марка ПТ, ст. Тюльпан (ст.
отправления)",ст. Тюльпан,68,1688270,255,"1,03",24673,24828,24982,24828,24573,25122,2
488,PCUUUPG020A,"Газы углеводородные сжиженные марка ПТ, Сургутское УПГ
(самовывоз автотранспортом)",Сургутское УПГ,-,-,-,-,-,-,-,-,-,25900,-
489,PCUUZEL036F,"Газы углеводородные сжиженные марка ПТ, ст. Зелецино (ст.
отправления)",ст. Зелецино,36,972000,500,"1,85",27000,27000,27000,27000,27000,27000,1
490,PCU2RAF010A,"Смесь сжиженных углеводородных газов, Краснодарнефтегаз
(самовывоз автотранспортом)",Краснодарнефтегаз,-,-,-,-,-,-,-,-,-,32000,-
491,PCVEAZP020A,"Полиэтилен марка НМПЭ-1 (в бочке), Ангарский завод
полимеров (самовывоз автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,2300,-,-
492,PCVLPSG020A,"Полиэтилентерефталат 8200 марка Л, Склад ПИРС
(самовывоз а/т)",Склад ПИРС,-,-,-,-,-,-,-,-,148600,-,-
493,PCVMMSB020A,"Воск свечной высокоочищенный модифицированный марка 1,
Склад МОСХИМ (самовывоз а/т)",Склад МОСХИМ,-,-,-,-,-,-,-,-,83000,-,-
494,PCVSAZP020A,"Cырье полиэтиленовое вторичное (сметки), Ангарский завод
полимеров (самовывоз автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,-,28000,-
495,PCVTONT005A,"Полиэтилентерефталат высоковязкий торговая марка
EKOPET 80 BB, Склад Контранс (самовывоз автотранспортом)",Склад Контранс,-,-,-,-,-,-,-,-,165000,-,-
496,PCV9PUF001A,"Полиэтилен марка НМПЭ-1, Уфаоргсинтез (самовывоз
автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,1000,-,-
497,PCV9PUF020A,"Полиэтилен НМПЭ-1, Уфаоргсинтез (самовывоз
автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,1000,-,-
498,PCWBRFF036C,"Широкая фракция легких углеводородов марка А, РФ БП (ст.
назначения)",РФ БП,-,-,-,-,-,-,-,-,-,30500,-
499,PCXKANK060F,"Cмола пиролизная тяжелая со смолой КОМПАУНД первый
сорт, Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,30000,-,-,-
500,PCX1UGU036F,"Газы углеводородные сжиженные марок ПБТ или ПБА, БП
(б.т.ц.) Сургут (ст. отправления)",БП (б.т.ц.) Сургут,504,10068480,307,"1,54",19670,19977,20001,19977,19670,20001,10
501,PCY7MSB020A,"Полиэтилен высокого давления марка 15803-020 высший сорт
(поставка в фасованном виде - мешок 25 кг), Склад МОСХИМ
(самовывоз автотранспортом)",Склад МОСХИМ,40,5600000,-,-,140000,140000,140000,140000,140000,145000,2
502,PCY9MSB020A,"Полиэтилен высокого давления марка 10903-020 высший сорт
(поставка в фасованном виде - мешок 25 кг), Склад МОСХИМ
(самовывоз автотранспортом)",Склад МОСХИМ,-,-,-,-,-,-,-,136000,-,-,-
503,PCZBKHH050F,"Фракция изопентановая марка Б, ст. Кульшарипово (ст.
отправления)",ст. Кульшарипово,500,23500000,-,-,47000,47000,47000,47000,47000,47000,1
504,PCZBUPR024A,"Фракция изопентановая марка Б, Татнефтегазпереработка
(самовывоз автотранспортом)","Татнефтегазперераб
отка",-,-,-,-,-,-,-,-,55600,33000,-
505,PCZDRFF036C,"Широкая фракция легких углеводородов, РФ БП (ст.
назначения)",РФ БП,-,-,-,-,-,-,-,-,-,25000,-
506,PCZ4KKK040F,"Газы углеводородные сжиженные, ст. Косяковка (ст.
отправления)",ст. Косяковка,80,1760000,1250,"5,68",22000,22000,22000,22000,22000,22000,1
507,PC1BPUF020A,"Бален 01030, Уфаоргсинтез (самовывоз автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,-,100,-
508,PC1VPUF020A,"Полиэтилен высокого давления марка 15803-020 второй сорт,
Уфаоргсинтез (самовывоз автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,-,136501,-
509,PC1YPUF020A,"Полиэтилен высокого давления марка 15803-020 первый сорт,
Уфаоргсинтез (самовывоз автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,-,131100,-
510,PC10KIT025A,"Парафин нефтяной жидкий фракция С10-С13, КИНЕФ
(самовывоз автотранспортом)",КИНЕФ,-,-,-,-,-,-,-,-,173362,-,-
511,PC14KII055F,"Парафин нефтяной жидкий фракция С14-С17, ст. Кириши (ст.
отправления)",ст. Кириши,-,-,-,-,-,-,-,-,-,106750,-
512,PC14KII055S,"Парафин нефтяной жидкий фракция С14-С17, ст. Кириши
(самовывоз ж/д)",ст. Кириши,-,-,-,-,-,-,-,-,-,106750,-
513,PC14KIT025A,"Парафин нефтяной жидкий фракция С14-С17, КИНЕФ
(самовывоз автотранспортом)",КИНЕФ,-,-,-,-,-,-,-,-,-,119983,-
514,PC15PUF020A,"Переходные марки балена 04015, Уфаоргсинтез (самовывоз
автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,-,124500,-
515,PC2BPUF020A,"Бален 01031Г, Уфаоргсинтез (самовывоз автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,-,100,-
516,PC4GSAU034F,"Фракция пропановая марка А, Самара-группа станций (ст.
отправления)","Самара-группа
станций",136,3781582,913,"3,28",27397,27806,28002,27806,26893,28010,4
517,PC4YSAU060F,"Смола фенольная, Самара-группа станций (ст. отправления)","Самара-группа
станций",60,60000,-,-,1000,1000,1000,1000,1000,1000,1
518,PC7BPUF020A,"Бален 02015, Уфаоргсинтез (самовывоз автотранспортом)",Уфаоргсинтез,40,6246180,529,"0,34",156009,156155,156300,156155,155626,156711,2
519,PPA-SUR033F,"Газы углеводородные сжиженные марка ПА, ст. Сургут (ст.
отправления)",ст. Сургут,-,-,-,-,-,-,-,-,-,5555,-
520,PPBAASR005A,"Газы углеводородные сжиженные марка ПБА, Астрахань БП
(самовывоз автотранспортом)",Астрахань БП,325,11627000,75,"0,21",35700,35775,36000,35775,35700,36000,10
521,PPBABKB005A,"Газы углеводородные сжиженные марка ПБА, Белгород-Курск-
Брянск БП (самовывоз автотранспортом)","Белгород-Курск-
Брянск БП",5,195000,-500,"-1,28",39000,39000,39000,39000,38500,39500,1
522,PPBAGDD005A,"Газы углеводородные сжиженные марка ПБА, ГНС Сочи
(самовывоз автотранспортом)",ГНС Сочи,-,-,-,-,-,-,-,-,38500,-,-
523,PPBAGNV005A,"Газы углеводородные сжиженные марка ПБА, ГНС
Владикавказ (самовывоз автотранспортом)",ГНС Владикавказ,-,-,-,-,-,-,-,-,-,39200,-
524,PPBAHAE005A,"Газы углеводородные сжиженные марка ПБА, БП Хабль-
Темрюк (самовывоз автотранспортом)",БП Хабль-Темрюк,-,-,-,-,-,-,-,38000,38000,-,-
525,PPBALTV005A,"Газы углеводородные сжиженные марка ПБА, Липецк-Тамбов-
Волгоград БП (самовывоз автотранспортом)","Липецк-Тамбов-
Волгоград БП",50,1885000,-856,"-2,27",37500,37700,38000,37700,37500,38000,4
526,PPBAMIT005A,"Газы углеводородные сжиженные марка ПБА, ГНС
Минеральные Воды (самовывоз автотранспортом)","ГНС Минеральные
Воды",-,-,-,-,-,-,-,-,-,38000,-
527,PPBAMST034C,"Газы углеводородные сжиженные марка ПБА, Москва-
Товарная БП (ст. назначения)",Москва-Товарная БП,-,-,-,-,-,-,-,-,35000,-,-
528,PPBAOSU005A,"Газы углеводородные сжиженные марка ПБА, УН ОСК
(самовывоз автотранспортом)",УН ОСК,150,4125000,-,-,27500,27500,27500,27500,27500,27500,11
529,PPBARST034C,"Газы углеводородные сжиженные марка ПБА, Ростов БП (ст.
назначения)",Ростов БП,-,-,-,-,-,-,-,-,37500,-,-
530,PPBARTO005A,"Газы углеводородные сжиженные марка ПБА, Ростов-25 БП
(самовывоз автотранспортом)",Ростов-25 БП,10,380000,-,-,38000,38000,38000,38000,38000,38000,1
531,PPBAYAI035F,"Газы углеводородные сжиженные марка ПБА, ст. Яничкино
(ст. отправления)",ст. Яничкино,35,947800,-,-,27080,27080,27080,27080,27080,28000,1
532,PPBAZNT025A,"Газы углеводородные сжиженные марка ПБА, Славянск ЭКО
(самовывоз автотранспортом)",Славянск ЭКО,-,-,-,-,-,-,-,-,36000,33000,-
533,PPBBZAH035W,"Газы углеводородные сжиженные марка СПБТ, ст. Завережье-
Экспорт (промежуточная станция)","ст. Завережье-
Экспорт",420,12180000,-,-,29000,29000,29000,29000,29000,29001,4
534,PV22PIC027A,"Битумное вяжущее марка PG 64-22, Производственная
площадка г. Рязань (самовывоз автотранспортом)","Производственная
площадка г. Рязань",540,14310000,-,-,26500,26500,26500,26500,26500,26500,2
535,PV23PIC027A,"Полимерно-битумное вяжущее марка ПБВ 60 (поставка
наливом), Производственная площадка г. Рязань (самовывоз
автотранспортом)","Производственная
площадка г. Рязань",-,-,-,-,-,-,-,32000,-,-,-
536,PV58SSN027A,"Битумное вяжущее марка PG 58-22, Саратовский НПЗ
(самовывоз автотранспортом)",Саратовский НПЗ,-,-,-,-,-,-,-,-,27400,-,-
537,PV76PIC027A,"Битумное вяжущее марка PG 76-22, Производственная
площадка г. Рязань (самовывоз автотранспортом)","Производственная
площадка г. Рязань",-,-,-,-,-,-,-,-,30500,29500,-
538,QC03GTG020K,"Сырье полимерное вторичное (ПВД - пленка), Склад Гатчина
(франко-пункт назначения)",Склад Гатчина,-,-,-,-,-,-,-,50000,-,-,-
539,RKT-PDK065F,"Топливо для реактивных двигателей РТ высший сорт,
Предкомбинатская-группа станций (ст. отправления)","Предкомбинатская-
группа станций",325,27625000,-3000,"-3,53",85000,85000,85000,85000,85000,85000,2
540,TPBUUPG025A,"Топливо печное бытовое, Сургутское УПГ (самовывоз
автотранспортом)",Сургутское УПГ,650,40300000,-3026,"-4,88",62000,62000,62000,62000,62000,62037,6
541,TRD-BTT060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с,
Батайск БП (ст. назначения/резервуар Покупателя)",Батайск БП,-,-,-,-,-,-,-,-,-,85800,-
542,TRD-MHA060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с,
МАУ БП (ст. назначения/резервуар Покупателя)",МАУ БП,1080,90232200,240,"0,29",83450,83548,83570,83548,83450,83570,4
543,TRD-PYG060R,"Топливо для реактивных двигателей марок РТ в/с ТС-1 в/с,
Пятигорск БП (ст. назначения/резервуар Покупателя)",Пятигорск БП,360,30871800,-45,"-0,05",85740,85755,85780,85755,85740,85780,3
